Market,Year,GroupNo,SkippedCount,LearningCount,StrategyDiff,lArrival_lPrice,lArrival_hPrice,hArrival_lPrice,hArrival_hPrice
Babai,2019,0,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,00
Babai,2020,0,1,5,[0.0, -0.006302694689719557, 0.0, 0.006302694689719513],0.0,0.9936973053102804,0.0,0.006302694689719513,1579448.3204074486[2.]
Babai,2021,0,1,8,[0.0, -0.038105984704049245, 0.0, 0.038105984704049245],0.0,0.9618940152959508,0.0,0.038105984704049245,3734249.1889861524[1.97749322]
Babai,2022,0,1,13,[0.2509948511315546, 0.23067138889887873, -0.4949734518269714, 0.013307211796537991],0.2509948511315546,0.23067138889887873,0.5050265481730286,0.013307211796537991,8588333.409818236[1.98887351]
Babai,2023,0,1,13,[-0.07759071084850755, 0.15532143805188792, -0.08587339478430475, 0.008142667580924284],0.5890759558181591,0.15532143805188792,0.24745993854902856,0.008142667580924284,10326489.057074644[1.91020244]
Babai,2024,0,1,24,[-0.2059221585226254, 0.08712229600527885, 0.09540834433552495, 0.023391518181821582],0.6512206986202317,0.2299794388624217,0.09540834433552495,0.023391518181821582,15375624.849499105[1.98898697]
Babai,2019,1,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,00
Babai,2020,1,0,6,[0.0, -0.004386115475152663, 0.0, 0.0043861154751527265],0.0,0.9956138845248473,0.0,0.0043861154751527265,1068675.9912490558[2.]
Babai,2021,1,0,8,[-0.17294491528890557, 0.31944812706084247, 0.00019773269281135456, -0.14670094446474824],0.07705508471109443,0.8194481270608425,0.00019773269281135456,0.10329905553525175,3472859.3444217304[1.96011972]
Babai,2022,1,0,13,[-0.21684145524169873, 0.16044394063982592, 0.0503363186756185, 0.006061195926254375],0.5331585447583013,0.16044394063982592,0.3003363186756185,0.006061195926254375,10266554.665640749[1.97676795]
Babai,2023,1,0,11,[0.018515351808042646, 0.09268417323776007, -0.11566583023442817, 0.004466305188625463],0.5639698972625881,0.09268417323776007,0.33887962431102636,0.004466305188625463,10672252.897399353[1.72027615]
Babai,2024,1,0,27,[-0.22001509977130096, 0.012105377828451835, 0.10571782555466427, 0.10219189638818474],0.529984900228699,0.26210537782845184,0.10571782555466427,0.10219189638818474,19217543.97999914[1.99457749]
Babai,2025,1,3,36,[-0.44342252554052397, 0.15699880587829315, 0.1339795898087262, 0.1524441298535046],0.556577474459476,0.15699880587829315,0.1339795898087262,0.1524441298535046,30927367.47513666[1.99925941]
Babai,2019,2,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,00
Babai,2020,2,1,5,[-0.21550772761856085, 0.21550772761856085, 0.0, 0.0],0.11782560571477248,0.8821743942852275,0.0,0.0,1195199.361951764[2.]
Babai,2021,2,1,6,[-0.15172739613890238, 0.1517273961389024, 0.0, 0.0],0.12099987658837033,0.8790001234116297,0.0,0.0,2830606.960831071[1.94542244]
Babai,2022,2,1,13,[-0.027484557742573745, 0.1596769878758535, -0.1321924301332797, 0.0],0.47251544225742625,0.1596769878758535,0.3678075698667203,0.0,8624794.478312192[1.98357489]
Babai,2023,2,1,11,[0.026610407603549713, 0.13381078835912374, -0.1604211959626735, 0.0],0.5266104076035497,0.13381078835912374,0.3395788040373265,0.0,7968413.951621555[1.57992526]
Babai,2024,2,1,20,[-0.17499946274328604, 0.1383947177394876, 0.03648144014321095, 0.0001233048605873091],0.700000537256714,0.1383947177394876,0.16148144014321095,0.0001233048605873091,13163212.596006235[1.96617844]
Babai,2025,2,4,27,[-0.08711146012453097, 0.0833747969794819, -0.007824513254853394, 0.011561176399902456],0.5795552065421357,0.0833747969794819,0.3255088200784799,0.011561176399902456,25294388.240428444[1.98399215]
Babai,2019,3,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,00
Babai,2020,3,1,5,[-0.6411071600712626, 0.635077364732497, 0.0, 0.006029795338765653],0.3588928399287374,0.635077364732497,0.0,0.006029795338765653,1495842.4972310723[2.]
Babai,2021,3,1,6,[-0.041965946232197626, 0.03219325408722784, 0.009346846898139558, 0.0004258452468302422],0.5830340537678024,0.40719325408722784,0.009346846898139558,0.0004258452468302422,3294374.2341075707[1.8905271]
Babai,2022,3,1,16,[-0.42395300125101454, 0.04404555183980294, 0.37121374100807364, 0.008693708403137925],0.5760469987489855,0.04404555183980294,0.37121374100807364,0.008693708403137925,15739946.199711287[1.9960328]
Babai,2023,3,1,13,[-0.38077730312055436, 0.2446319772564667, 0.12032305183293632, 0.015822274031151384],0.4192226968794457,0.2446319772564667,0.22032305183293632,0.11582227403115139,27742399.231021825[1.94915672]
Babai,2024,3,1,30,[-0.44103558206395743, 0.15600706632728145, 0.2126331312590245, 0.0723953844776516],0.5589644179360426,0.15600706632728145,0.2126331312590245,0.0723953844776516,44452883.30699173[1.99911516]
Babai,2025,3,4,31,[-0.3032765100096455, 0.12237896288170157, 0.13162393429431835, 0.04927361283362556],0.49672348999035454,0.12237896288170157,0.33162393429431836,0.04927361283362556,67848219.62643872[1.99441713]
Babai,2019,4,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,00
Babai,2021,4,7,7,[0.24804209116187628, 0.026995801848226548, 0.254098725759245, 0.16137634582619567],0.24804209116187628,0.026995801848226548,0.254098725759245,0.16137634582619567,73296615.00633033[2.]
