State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.3,1735,2020,1980,13-Nov-21
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.4,2200,3100,2600,09-Nov-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,1780,2145,2030,01-Apr-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,1850,2271,2100,12-Mar-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,2115,2960,2605,11-Sep-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,2130,2700,2610,12-Dec-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,2215,2825,2670,26-Nov-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.5,2275,2505,2370,25-Feb-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.6,1035,2355,2190,26-Nov-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.6,2208,3065,2680,21-Jan-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.6,2220,2840,2705,28-Jan-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.7,1975,2450,2295,06-Mar-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,0.9,2215,2740,2610,16-Aug-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,1.5,1845,2600,2455,22-Apr-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,1.6,1925,1930,1926,02-May-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,6.2,1925,1975,1930,13-May-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,6.3,2000,2352,2232,22-Jan-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,6.9,1918,2192,2068,16-Aug-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,9,1700,1931,1900,02-Aug-21
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,11.6,2180,2510,2300,31-Dec-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,12.3,2200,2730,2644,09-Feb-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,13.1,2350,2830,2684,07-Feb-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,15.6,1721,2119,2100,26-Feb-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,15.9,2002,2250,2108,18-Feb-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,17.5,2067,2200,2135,13-Feb-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,19,2000,2300,2105,06-Dec-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,20,2041,2336,2189,13-Dec-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,21.5,2110,2486,2285,27-Dec-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,23.7,1550,1733,1681,24-Aug-20
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,24.2,1800,2100,1920,08-Oct-21
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,27.6,1850,2133,1950,09-Feb-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,27.7,2010,2533,2292,17-Sep-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,28.9,1850,2080,1972,21-Feb-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,31.2,2010,2300,2145,01-Nov-19
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,31.3,1684,2080,2042,01-Dec-21
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,32.1,1740,2080,1996,06-Jan-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,35.7,2220,2950,2684,30-Sep-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,36.8,2210,2845,2644,13-Dec-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,37.6,1510,1822,1714,20-Feb-21
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,37.9,1800,2050,1910,07-Feb-22
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,41.9,2080,2600,2435,10-Jan-23
Madhya Pradesh,Ujjain,Badnagar,Lokwan,Cereals,43.2,1830,2199,1980,17-Feb-22
