State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,"1,112.60",1712,1924,1850,01-Apr-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,"1,176.50",2067,2229,2175,06-May-22
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,20.14,2905,3222,3222,11-Feb-25
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,32.8,3052,3052,3052,31-Dec-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,35.33,2155,2895,2331,14-Feb-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,65.7,2242,2580,2502,20-Dec-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,67.8,2300,2300,2362,03-Jan-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,69.01,2700,2700,2700,07-Oct-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,78.77,2325,2732,2396,05-Feb-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,81.99,2895,2925,2925,27-Jan-25
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,95.8,2400,2590,2514,21-Nov-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,110,2371,2447,2405,06-Oct-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,125.3,2425,2555,2475,09-Nov-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,125.9,2325,2379,2364,28-Aug-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,146.9,2413,2600,2533,03-Nov-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,149.89,2326,2326,2526,01-Mar-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,157.9,2411,2470,2434,17-Oct-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,289,2241,2241,2525,04-Mar-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,325.56,2450,2450,2590,21-Jun-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,370.11,2521,2536,2542,29-May-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,858.3,2140,2550,2535,18-Apr-24
Madhya Pradesh,Bhopal,Bhopal,Mohan Mondal,Cereals,81.99,2875,2875,2875,27-Jan-25
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,20.2,2250,2250,2250,30-Jul-19
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,20.6,2550,2580,2580,16-Jan-19
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,35.7,1951,2155,2155,17-Dec-21
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,40.6,2800,2800,2800,30-Jan-19
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,53.9,2851,2851,2851,24-Jan-22
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,54.2,2125,2225,2175,02-Aug-19
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,74.2,3413,3506,3475,08-Feb-23
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,75.9,2512,2512,2512,27-Dec-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,49.5,1925,1930,1925,21-May-20
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,58.8,2600,2961,2691,25-Oct-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,63.4,2040,2193,2106,28-Jan-20
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,64.7,1900,2052,2015,09-Feb-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,65.8,2676,2775,2748,22-Nov-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,68.5,1960,2165,2040,22-Aug-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,72.7,2680,2825,2790,11-Nov-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,75.9,2000,2276,2154,19-Nov-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,76.4,1950,2227,2180,10-Aug-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,79.44,2000,2071,2039,14-Aug-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,81.2,1901,2124,2071,24-Feb-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,86.8,2510,2620,2576,23-Dec-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,100.1,2900,3090,2912,18-Dec-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,101.54,1951,2265,2160,13-Nov-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,110.2,1900,2100,2035,30-Sep-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,110.8,2736,2820,2799,15-Nov-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,145.9,1576,2060,1806,26-Feb-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,149.1,2125,2190,2150,19-Jul-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,158.8,2767,2851,2821,09-Oct-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,175.1,1400,1915,1855,25-Feb-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,188.6,2290,2560,2466,23-Jun-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,208.2,1700,1928,1925,23-Apr-20
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,292.8,2270,2389,2300,03-May-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,405.5,2140,2578,2267,15-May-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,457.4,2200,2528,2365,02-May-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,710.4,2060,2402,2275,20-Mar-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,800.4,2042,2207,2111,07-May-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,885.2,2041,2400,2222,11-Apr-23
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,"1,117.30",1750,1985,1870,15-Mar-19
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,"1,398.20",2145,2300,2200,11-May-22
Madhya Pradesh,Bhopal,Bhopal,Lokwan MP No. 1,Cereals,"4,708.40",2340,2601,2473,28-Apr-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,18.2,2436,2471,2450,22-Sep-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,42,3178,3178,3178,15-Feb-25
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,65.1,2340,2450,2370,29-Aug-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,103.82,2326,2669,2565,23-Feb-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,113,2425,2595,2525,08-Nov-23
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,203.61,2381,2381,2452,13-Jun-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,280.07,2300,2300,2500,27-Feb-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,590.19,2364,2600,2378,16-Mar-24
Madhya Pradesh,Bhopal,Bhopal,Mill Quality,Cereals,665.82,2450,2479,2479,12-Mar-25
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,14.4,2471,2471,2471,01-Jan-22
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,43.52,2700,2700,2700,17-Jan-19
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,44.7,3200,3200,3200,23-Jan-23
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,108.2,2470,2470,2470,23-Jan-19
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,125.3,3000,3000,3000,09-Nov-23
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,142.5,2602,2800,2800,21-Jul-22
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,179.5,2412,3475,2700,21-Oct-21
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,260.3,3311,3311,3311,08-Jun-21
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,292.8,2725,4200,2751,03-May-23
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,454.2,1500,1902,1754,13-Mar-20
Madhya Pradesh,Bhopal,Bhopal,MP Sharbati,Cereals,480.2,2912,2912,2912,24-May-23
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,158.1,1601,2113,2040,18-Sep-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,182.1,1500,1890,1684,12-Mar-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,190.3,1880,2162,1980,20-Nov-21
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,193.5,1450,1880,1570,17-Dec-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,204,1930,1985,1960,20-Apr-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,281.6,1675,1885,1676,22-Jun-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,289.2,1805,2000,1840,25-Jun-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,336.3,1355,1865,1525,03-Dec-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,343.5,1669,1945,1738,25-Jun-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,397.5,1875,2055,1944,17-Jul-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,398.6,1600,1991,1778,22-Jul-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,455.5,1841,2011,1905,29-May-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,462.5,1760,2160,1856,11-Jun-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,489.3,1925,1960,1940,23-Jun-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,578.9,1850,2050,1950,02-May-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,583.1,1841,2180,1905,30-Apr-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,719.8,1841,2040,1886,16-Apr-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,741.3,1675,1950,1744,16-Mar-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,787.9,1700,1960,1890,28-Apr-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,876.1,1600,1950,1725,09-Apr-21
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,953.7,1600,1830,1750,10-Apr-19
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,"1,067.00",1600,1880,1725,03-Jun-20
Madhya Pradesh,Bhopal,Berasia,Other,Cereals,"2,263.30",1460,1710,1610,25-Nov-20
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,36.9,2526,2800,2610,07-Jan-23
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,47.8,1890,2080,1936,01-Jan-22
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,99.76,2350,2350,2300,13-Feb-24
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,104.05,2710,2765,2710,04-Oct-24
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,118.41,2895,2895,2895,28-Oct-24
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,128,1850,2121,1900,15-Dec-21
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,129.7,2300,2649,2589,17-Oct-23
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,157.4,1980,2349,2100,28-Jul-22
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,170.6,2020,2376,2210,23-Jun-23
Madhya Pradesh,Bhopal,Berasia,PISSI,Cereals,176.8,2000,2325,2150,10-Aug-22
