Market,Year,GroupNo,SkippedCount,LearningCount,StrategyDiff,lArrival_lPrice,lArrival_hPrice,hArrival_lPrice,hArrival_hPrice
Babai,2019,0,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,0.0
Babai,2020,0,1,6,[0.0, -0.006302694689719557, 0.0, 0.006302694689719513],0.0,0.9936973053102804,0.0,0.006302694689719513,1579448.3204074486
Babai,2021,0,1,13,[-0.003557967294023984, -0.03432606479194722, 0.0, 0.03788403208597115],-0.003557967294023984,0.9656739352080528,0.0,0.03788403208597115,3818295.102533184
Babai,2022,0,1,20,[0.24777391819903813, 0.2271823148828973, -0.48830059727277453, 0.01334436419083921],0.24777391819903813,0.2271823148828973,0.5116994027272255,0.01334436419083921,8637237.00306223
Babai,2023,0,1,27,[-0.07352350675631825, 0.13283000053870925, -0.06725761852691259, 0.007951124744521726],0.5931431599103484,0.13283000053870925,0.2660757148064207,0.007951124744521726,11219402.86878579
Babai,2024,0,1,34,[-0.20552268299170817, 0.08584029043999511, 0.09612805057790401, 0.02355434197380901],0.6516201741511489,0.22869743329713796,0.09612805057790401,0.02355434197380901,15341691.812630445
Babai,2019,1,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,0.0
Babai,2020,1,0,7,[0.0, -0.004386115475152663, 0.0, 0.0043861154751527265],0.0,0.9956138845248473,0.0,0.0043861154751527265,1068675.9912490558
Babai,2021,1,0,14,[-0.16744410043050098, 0.30679036898066125, 0.00020483343904403542, -0.13955110198920412],0.08255589956949902,0.8067903689806613,0.00020483343904403542,0.11044889801079588,3611357.9436172647
Babai,2022,1,0,21,[-0.20962399734758952, 0.14993556326051735, 0.053692666816715306, 0.005995767270356806],0.5403760026524105,0.14993556326051735,0.3036926668167153,0.005995767270356806,10403296.592185324
Babai,2023,1,0,28,[0.021891997849675215, 0.02186951535416004, -0.04421296809640152, 0.000451454892566331],0.5673465433042206,0.02186951535416004,0.410332486449053,0.000451454892566331,13348381.818277229
Babai,2024,1,0,35,[-0.22011883610033778, 0.011098072728555841, 0.10618095424495709, 0.10283980912682479],0.5298811638996622,0.26109807272855584,0.10618095424495709,0.10283980912682479,19113336.664450865
Babai,2025,1,3,42,[-0.4436131596039009, 0.1570197834955999, 0.13405457964140027, 0.1525387964669007],0.5563868403960991,0.1570197834955999,0.13405457964140027,0.1525387964669007,30904462.890794292
Babai,2019,2,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,0.0
Babai,2020,2,1,6,[-0.21550772761856085, 0.21550772761856085, 0.0, 0.0],0.11782560571477248,0.8821743942852275,0.0,0.0,1195199.361951764
Babai,2021,2,1,13,[-0.15642267925323627, 0.15734509922677575, 0.0, -0.0009224199735393695],0.11630459347403645,0.884617826499503,0.0,-0.0009224199735393695,2985094.5841994025
Babai,2022,2,1,20,[-0.028718347819503276, 0.15744317577512326, -0.12848719548785387, -0.00023763246776618667],0.4712816521804967,0.15744317577512326,0.37151280451214613,-0.00023763246776618667,8682818.518088885
Babai,2023,2,1,27,[-0.003745744064600265, 0.04938829429071183, -0.040130845486249456, -0.005511704739862303],0.49625425593539974,0.04938829429071183,0.45986915451375054,-0.005511704739862303,11284699.165987153
Babai,2024,2,1,34,[-0.17570007227227025, 0.1359730360468437, 0.0399153639834372, -0.00018832775801086427],0.6992999277277298,0.1359730360468437,0.1649153639834372,-0.00018832775801086427,12984708.403548362
Babai,2025,2,4,41,[-0.08942791587384591, 0.08263027131560462, -0.004858848564444018, 0.011656493122685387],0.5772387507928207,0.08263027131560462,0.3284744847688893,0.011656493122685387,24889479.4484398
Babai,2019,3,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,0.0
Babai,2020,3,1,6,[-0.6411071600712626, 0.635077364732497, 0.0, 0.006029795338765653],0.3588928399287374,0.635077364732497,0.0,0.006029795338765653,1495842.4972310723
Babai,2021,3,1,13,[-0.04243190910162864, 0.0378174521978179, 0.007986487684178695, -0.0033720307803679433],0.5825680908983714,0.4128174521978179,0.007986487684178695,-0.0033720307803679433,3632117.0171979647
Babai,2022,3,1,20,[-0.4250610554807499, 0.043773961066206804, 0.3725888579281872, 0.00869823648635583],0.5749389445192501,0.043773961066206804,0.3725888579281872,0.00869823648635583,15677502.741239455
Babai,2023,3,1,27,[-0.3810236590873187, 0.24117757145349253, 0.12174820682766188, 0.01809788080616427],0.4189763409126813,0.24117757145349253,0.2217482068276619,0.11809788080616428,28569946.223714635
Babai,2024,3,1,34,[-0.4414514849761527, 0.15613443607229244, 0.21285075651987512, 0.07246629238398525],0.5585485150238473,0.15613443607229244,0.21285075651987512,0.07246629238398525,44413549.54045361
Babai,2025,3,4,41,[-0.30487857187158096, 0.1224679892551197, 0.13299567585013183, 0.04941490676632934],0.4951214281284191,0.1224679892551197,0.33299567585013184,0.04941490676632934,67540062.83554004
Babai,2019,4,0,0,[0.0, 0.0, 0.0, 0.0],0.0,0.0,0.0,0.0,0.0
Babai,2021,4,7,7,[0.24804209116187628, 0.026995801848226548, 0.254098725759245, 0.16137634582619567],0.24804209116187628,0.026995801848226548,0.254098725759245,0.16137634582619567,73296615.00633033
Babai,2022,4,7,14,[0.016816426636214077, 0.023346744548651602, 0.22224463808662429, -0.2624078092714899],0.3501497599695474,0.023346744548651602,0.22224463808662429,0.40425885739517675,82684415.50418442
